%kf,t,x,y,theta,xg,yg,thetag
0,1389015184.860,4.347340e-01,-1.345991e-01,8.137194e-02,-8.374074e+00,6.688428e+01,-1.872389e+00
0,1389015184.900,4.419114e-01,-1.368014e-01,8.259211e-02,-8.378799e+00,6.687845e+01,-1.871169e+00
0,1389015184.942,4.492827e-01,-1.390631e-01,8.384523e-02,-8.383651e+00,6.687246e+01,-1.869916e+00
0,1389015184.982,4.562199e-01,-1.411831e-01,8.501129e-02,-8.388210e+00,6.686681e+01,-1.868750e+00
0,1389015185.023,4.634850e-01,-1.434024e-01,8.623123e-02,-8.392983e+00,6.686090e+01,-1.867530e+00
0,1389015185.063,4.705159e-01,-1.455416e-01,8.741083e-02,-8.397594e+00,6.685518e+01,-1.866350e+00
0,1389015185.102,4.774023e-01,-1.476264e-01,8.856493e-02,-8.402101e+00,6.684957e+01,-1.865196e+00
0,1389015185.146,4.850151e-01,-1.499307e-01,8.984092e-02,-8.407083e+00,6.684337e+01,-1.863920e+00
0,1389015185.191,4.929540e-01,-1.523017e-01,9.118282e-02,-8.412249e+00,6.683690e+01,-1.862578e+00
0,1389015185.227,4.993241e-01,-1.542043e-01,9.225956e-02,-8.416394e+00,6.683170e+01,-1.861501e+00
0,1389015185.264,5.058302e-01,-1.561295e-01,9.336989e-02,-8.420611e+00,6.682638e+01,-1.860391e+00
0,1389015185.288,5.100376e-01,-1.573635e-01,9.409439e-02,-8.423328e+00,6.682294e+01,-1.859667e+00
0,1389015185.313,5.145589e-01,-1.586896e-01,9.487296e-02,-8.426248e+00,6.681924e+01,-1.858888e+00
0,1389015185.349,5.208910e-01,-1.605421e-01,9.596675e-02,-8.430332e+00,6.681406e+01,-1.857794e+00
0,1389015185.391,5.283159e-01,-1.626711e-01,9.728118e-02,-8.435081e+00,6.680797e+01,-1.856480e+00
0,1389015185.429,5.351232e-01,-1.646230e-01,9.848629e-02,-8.439435e+00,6.680239e+01,-1.855275e+00
0,1389015185.465,5.417615e-01,-1.664982e-01,9.968500e-02,-8.443655e+00,6.679693e+01,-1.854076e+00
0,1389015185.519,5.513983e-01,-1.691877e-01,1.014525e-01,-8.449751e+00,6.678900e+01,-1.852309e+00
0,1389015185.567,5.602319e-01,-1.716186e-01,1.031039e-01,-8.455307e+00,6.678171e+01,-1.850657e+00
0,1389015185.617,5.695694e-01,-1.741443e-01,1.048893e-01,-8.461139e+00,6.677399e+01,-1.848872e+00
0,1389015185.648,5.753097e-01,-1.756914e-01,1.059921e-01,-8.464719e+00,6.676925e+01,-1.847769e+00
0,1389015185.693,5.837064e-01,-1.778848e-01,1.076704e-01,-8.469891e+00,6.676228e+01,-1.846091e+00
0,1389015185.730,5.906416e-01,-1.796964e-01,1.090565e-01,-8.474163e+00,6.675652e+01,-1.844704e+00
0,1389015185.817,6.073108e-01,-1.839197e-01,1.125035e-01,-8.484309e+00,6.674264e+01,-1.841258e+00
0,1389015185.851,6.138257e-01,-1.855489e-01,1.138688e-01,-8.488254e+00,6.673720e+01,-1.839892e+00
0,1389015185.896,6.226702e-01,-1.876886e-01,1.157815e-01,-8.493544e+00,6.672980e+01,-1.837979e+00
0,1389015185.932,6.295812e-01,-1.893605e-01,1.172760e-01,-8.497677e+00,6.672401e+01,-1.836485e+00
0,1389015185.971,6.373469e-01,-1.911872e-01,1.189950e-01,-8.502273e+00,6.671749e+01,-1.834766e+00
0,1389015186.020,6.468550e-01,-1.933913e-01,1.211243e-01,-8.507871e+00,6.670950e+01,-1.832637e+00
0,1389015186.052,6.532927e-01,-1.948687e-01,1.225767e-01,-8.511647e+00,6.670408e+01,-1.831184e+00
0,1389015186.092,6.611849e-01,-1.966152e-01,1.244032e-01,-8.516216e+00,6.669741e+01,-1.829358e+00
0,1389015186.133,6.692561e-01,-1.984013e-01,1.262710e-01,-8.520889e+00,6.669059e+01,-1.827490e+00
0,1389015186.173,6.772202e-01,-2.001029e-01,1.281547e-01,-8.525443e+00,6.668384e+01,-1.825606e+00
0,1389015186.220,6.864974e-01,-2.020538e-01,1.303696e-01,-8.530719e+00,6.667596e+01,-1.823391e+00
0,1389015186.254,6.933478e-01,-2.034741e-01,1.320178e-01,-8.534596e+00,6.667014e+01,-1.821743e+00
0,1389015186.303,7.032133e-01,-2.054344e-01,1.344446e-01,-8.540101e+00,6.666172e+01,-1.819316e+00
0,1389015186.334,7.093710e-01,-2.066580e-01,1.359594e-01,-8.543537e+00,6.665647e+01,-1.817802e+00
0,1389015186.374,7.173572e-01,-2.081736e-01,1.379659e-01,-8.547927e+00,6.664963e+01,-1.815795e+00
0,1389015186.419,7.263208e-01,-2.098446e-01,1.402356e-01,-8.552826e+00,6.664194e+01,-1.813525e+00
0,1389015186.455,7.334729e-01,-2.111519e-01,1.420611e-01,-8.556712e+00,6.663579e+01,-1.811700e+00
0,1389015186.502,7.427146e-01,-2.127540e-01,1.444684e-01,-8.561651e+00,6.662782e+01,-1.809293e+00
0,1389015186.536,7.495033e-01,-2.139309e-01,1.462367e-01,-8.565279e+00,6.662196e+01,-1.807524e+00
0,1389015186.576,7.573617e-01,-2.152087e-01,1.483283e-01,-8.569401e+00,6.661515e+01,-1.805433e+00
0,1389015186.619,7.658986e-01,-2.165692e-01,1.506150e-01,-8.573853e+00,6.660774e+01,-1.803146e+00
0,1389015186.659,7.738134e-01,-2.177887e-01,1.527587e-01,-8.577942e+00,6.660085e+01,-1.801002e+00
0,1389015186.697,7.811400e-01,-2.188464e-01,1.547832e-01,-8.581661e+00,6.659445e+01,-1.798978e+00
0,1389015186.737,7.889428e-01,-2.199729e-01,1.569392e-01,-8.585621e+00,6.658764e+01,-1.796822e+00
0,1389015186.777,7.966476e-01,-2.209877e-01,1.591409e-01,-8.589442e+00,6.658087e+01,-1.794620e+00
0,1389015186.822,8.054942e-01,-2.221237e-01,1.616907e-01,-8.593801e+00,6.657309e+01,-1.792070e+00
0,1389015186.857,8.122448e-01,-2.229509e-01,1.636736e-01,-8.597091e+00,6.656713e+01,-1.790087e+00
0,1389015186.906,8.216463e-01,-2.239995e-01,1.665321e-01,-8.601576e+00,6.655881e+01,-1.787229e+00
0,1389015186.938,8.276577e-01,-2.246700e-01,1.683598e-01,-8.604445e+00,6.655348e+01,-1.785401e+00
0,1389015186.978,8.352751e-01,-2.254098e-01,1.707979e-01,-8.607977e+00,6.654669e+01,-1.782963e+00
0,1389015187.025,8.443693e-01,-2.262627e-01,1.737425e-01,-8.612167e+00,6.653857e+01,-1.780018e+00
0,1389015187.058,8.506565e-01,-2.268059e-01,1.758373e-01,-8.615020e+00,6.653295e+01,-1.777924e+00
0,1389015187.100,8.586576e-01,-2.274074e-01,1.786178e-01,-8.618568e+00,6.652575e+01,-1.775143e+00
0,1389015187.139,8.659133e-01,-2.279528e-01,1.811392e-01,-8.621785e+00,6.651922e+01,-1.772622e+00
0,1389015187.179,8.735152e-01,-2.284003e-01,1.839577e-01,-8.625040e+00,6.651234e+01,-1.769803e+00
0,1389015187.223,8.818295e-01,-2.288639e-01,1.870771e-01,-8.628577e+00,6.650480e+01,-1.766684e+00
0,1389015187.260,8.887372e-01,-2.291938e-01,1.897553e-01,-8.631464e+00,6.649852e+01,-1.764006e+00
0,1389015187.302,8.966430e-01,-2.294752e-01,1.929713e-01,-8.634680e+00,6.649129e+01,-1.760790e+00
0,1389015187.340,9.037567e-01,-2.297284e-01,1.958650e-01,-8.637573e+00,6.648478e+01,-1.757896e+00
0,1389015187.380,9.113453e-01,-2.298619e-01,1.991842e-01,-8.640532e+00,6.647779e+01,-1.754577e+00
0,1389015187.402,9.154999e-01,-2.299230e-01,2.010216e-01,-8.642141e+00,6.647396e+01,-1.752739e+00
0,1389015187.421,9.190739e-01,-2.299756e-01,2.026023e-01,-8.643526e+00,6.647067e+01,-1.751159e+00
0,1389015187.542,9.416403e-01,-2.299186e-01,2.132931e-01,-8.651905e+00,6.644972e+01,-1.740468e+00
0,1389015187.663,9.643456e-01,-2.292053e-01,2.253205e-01,-8.659728e+00,6.642839e+01,-1.728441e+00
0,1389015187.685,9.685130e-01,-2.289971e-01,2.276856e-01,-8.661092e+00,6.642445e+01,-1.726075e+00
0,1389015187.743,9.792718e-01,-2.284594e-01,2.337917e-01,-8.664613e+00,6.641426e+01,-1.719969e+00
0,1389015187.805,9.909314e-01,-2.276904e-01,2.408028e-01,-8.668257e+00,6.640316e+01,-1.712958e+00
0,1389015187.846,9.985202e-01,-2.271839e-01,2.453786e-01,-8.670623e+00,6.639593e+01,-1.708382e+00
0,1389015187.884,1.005660e+00,-2.266267e-01,2.498642e-01,-8.672774e+00,6.638910e+01,-1.703897e+00
0,1389015187.904,1.009434e+00,-2.263323e-01,2.522349e-01,-8.673911e+00,6.638549e+01,-1.701526e+00
0,1389015187.931,1.014479e+00,-2.259386e-01,2.554046e-01,-8.675431e+00,6.638067e+01,-1.698356e+00
0,1389015187.968,1.021469e+00,-2.253649e-01,2.598681e-01,-8.677511e+00,6.637397e+01,-1.693893e+00
0,1389015188.007,1.028721e+00,-2.247521e-01,2.645435e-01,-8.679652e+00,6.636701e+01,-1.689217e+00
0,1389015188.045,1.035893e+00,-2.241459e-01,2.691683e-01,-8.681770e+00,6.636013e+01,-1.684593e+00
0,1389015188.086,1.043427e+00,-2.234986e-01,2.740803e-01,-8.683985e+00,6.635290e+01,-1.679681e+00
0,1389015188.125,1.050863e+00,-2.228596e-01,2.789287e-01,-8.686171e+00,6.634577e+01,-1.674832e+00
0,1389015188.166,1.058480e+00,-2.222192e-01,2.838868e-01,-8.688423e+00,6.633846e+01,-1.669874e+00
0,1389015188.208,1.066385e+00,-2.215684e-01,2.890257e-01,-8.690774e+00,6.633089e+01,-1.664735e+00
0,1389015188.245,1.073389e+00,-2.209923e-01,2.935775e-01,-8.692856e+00,6.632418e+01,-1.660184e+00
0,1389015188.286,1.081006e+00,-2.204308e-01,2.984443e-01,-8.695182e+00,6.631690e+01,-1.655317e+00
0,1389015188.326,1.088540e+00,-2.198755e-01,3.032576e-01,-8.697482e+00,6.630970e+01,-1.650503e+00
0,1389015188.371,1.097059e+00,-2.193149e-01,3.085997e-01,-8.700145e+00,6.630159e+01,-1.645161e+00
0,1389015188.407,1.103673e+00,-2.189174e-01,3.126909e-01,-8.702248e+00,6.629531e+01,-1.641070e+00
0,1389015188.448,1.111353e+00,-2.184641e-01,3.174284e-01,-8.704697e+00,6.628802e+01,-1.636333e+00
0,1389015188.538,1.128359e+00,-2.177581e-01,3.274471e-01,-8.710397e+00,6.627198e+01,-1.626314e+00
0,1389015188.548,1.130339e+00,-2.176903e-01,3.285905e-01,-8.711074e+00,6.627012e+01,-1.625171e+00
0,1389015188.567,1.133901e+00,-2.176262e-01,3.305520e-01,-8.712346e+00,6.626679e+01,-1.623209e+00
0,1389015188.590,1.138206e+00,-2.175487e-01,3.329223e-01,-8.713882e+00,6.626277e+01,-1.620839e+00
0,1389015188.648,1.149177e+00,-2.173665e-01,3.389372e-01,-8.717813e+00,6.625252e+01,-1.614824e+00
0,1389015188.738,1.166131e+00,-2.174871e-01,3.475436e-01,-8.724260e+00,6.623684e+01,-1.606217e+00
0,1389015188.768,1.171798e+00,-2.176139e-01,3.502533e-01,-8.726495e+00,6.623163e+01,-1.603508e+00
0,1389015188.810,1.179645e+00,-2.178250e-01,3.539367e-01,-8.729623e+00,6.622443e+01,-1.599824e+00
0,1389015188.849,1.186978e+00,-2.180325e-01,3.573546e-01,-8.732556e+00,6.621771e+01,-1.596406e+00
0,1389015188.889,1.194357e+00,-2.183320e-01,3.605780e-01,-8.735591e+00,6.621098e+01,-1.593183e+00
0,1389015188.929,1.201850e+00,-2.186361e-01,3.638515e-01,-8.738673e+00,6.620414e+01,-1.589909e+00
0,1389015188.969,1.209339e+00,-2.189739e-01,3.670037e-01,-8.741785e+00,6.619732e+01,-1.586757e+00
0,1389015189.009,1.216816e+00,-2.193345e-01,3.700675e-01,-8.744913e+00,6.619052e+01,-1.583693e+00
0,1389015189.050,1.224273e+00,-2.196954e-01,3.731051e-01,-8.748034e+00,6.618374e+01,-1.580656e+00
0,1389015189.090,1.231611e+00,-2.200604e-01,3.759525e-01,-8.751115e+00,6.617707e+01,-1.577808e+00
0,1389015189.131,1.239240e+00,-2.204398e-01,3.789128e-01,-8.754318e+00,6.617013e+01,-1.574848e+00
0,1389015189.171,1.246314e+00,-2.207694e-01,3.815826e-01,-8.757267e+00,6.616369e+01,-1.572178e+00
0,1389015189.211,1.253560e+00,-2.210944e-01,3.842750e-01,-8.760276e+00,6.615709e+01,-1.569486e+00
0,1389015189.251,1.260860e+00,-2.214091e-01,3.869754e-01,-8.763295e+00,6.615044e+01,-1.566786e+00
0,1389015189.291,1.267904e+00,-2.216434e-01,3.895155e-01,-8.766145e+00,6.614399e+01,-1.564245e+00
0,1389015189.334,1.275399e+00,-2.218927e-01,3.922183e-01,-8.769177e+00,6.613713e+01,-1.561543e+00
0,1389015189.372,1.282006e+00,-2.220258e-01,3.945759e-01,-8.771769e+00,6.613106e+01,-1.559185e+00
0,1389015189.412,1.289014e+00,-2.221267e-01,3.970653e-01,-8.774482e+00,6.612459e+01,-1.556696e+00
0,1389015189.453,1.295993e+00,-2.221911e-01,3.995449e-01,-8.777149e+00,6.611814e+01,-1.554216e+00
0,1389015189.493,1.302609e+00,-2.221086e-01,4.018991e-01,-8.779545e+00,6.611198e+01,-1.551862e+00
0,1389015189.537,1.310028e+00,-2.220161e-01,4.045391e-01,-8.782231e+00,6.610506e+01,-1.549222e+00
0,1389015189.573,1.315940e+00,-2.217805e-01,4.066748e-01,-8.784222e+00,6.609949e+01,-1.547086e+00
0,1389015189.618,1.323203e+00,-2.214296e-01,4.093108e-01,-8.786610e+00,6.609262e+01,-1.544450e+00
0,1389015189.654,1.329025e+00,-2.210913e-01,4.114397e-01,-8.788472e+00,6.608709e+01,-1.542321e+00
0,1389015189.693,1.335254e+00,-2.205303e-01,4.137728e-01,-8.790279e+00,6.608111e+01,-1.539988e+00
0,1389015189.736,1.341941e+00,-2.199280e-01,4.162775e-01,-8.792220e+00,6.607468e+01,-1.537483e+00
0,1389015189.774,1.347796e+00,-2.192273e-01,4.185191e-01,-8.793757e+00,6.606899e+01,-1.535242e+00
0,1389015189.817,1.354412e+00,-2.183721e-01,4.210699e-01,-8.795436e+00,6.606253e+01,-1.532691e+00
0,1389015189.855,1.360177e+00,-2.175757e-01,4.233068e-01,-8.796852e+00,6.605689e+01,-1.530454e+00
0,1389015189.901,1.367131e+00,-2.164377e-01,4.260539e-01,-8.798395e+00,6.605001e+01,-1.527707e+00
0,1389015189.943,1.373449e+00,-2.154038e-01,4.285499e-01,-8.799797e+00,6.604376e+01,-1.525211e+00
0,1389015189.976,1.378342e+00,-2.144736e-01,4.305173e-01,-8.800762e+00,6.603888e+01,-1.523244e+00
0,1389015190.017,1.384456e+00,-2.133001e-01,4.329790e-01,-8.801958e+00,6.603277e+01,-1.520782e+00
0,1389015190.058,1.390593e+00,-2.120829e-01,4.354596e-01,-8.803122e+00,6.602662e+01,-1.518301e+00
0,1389015190.097,1.396456e+00,-2.108332e-01,4.378517e-01,-8.804154e+00,6.602071e+01,-1.515909e+00
0,1389015190.137,1.402483e+00,-2.095485e-01,4.403107e-01,-8.805215e+00,6.601464e+01,-1.513450e+00
0,1389015190.178,1.408695e+00,-2.081570e-01,4.428603e-01,-8.806245e+00,6.600836e+01,-1.510901e+00
0,1389015190.221,1.415275e+00,-2.066648e-01,4.455650e-01,-8.807320e+00,6.600170e+01,-1.508196e+00
0,1389015190.260,1.421212e+00,-2.053050e-01,4.480072e-01,-8.808277e+00,6.599569e+01,-1.505754e+00
0,1389015190.302,1.427856e+00,-2.037588e-01,4.507435e-01,-8.809326e+00,6.598895e+01,-1.503017e+00
0,1389015190.345,1.434512e+00,-2.022096e-01,4.534848e-01,-8.810376e+00,6.598219e+01,-1.500276e+00
0,1389015190.379,1.439917e+00,-2.009593e-01,4.557033e-01,-8.811236e+00,6.597671e+01,-1.498058e+00
0,1389015190.422,1.446809e+00,-1.993651e-01,4.585319e-01,-8.812332e+00,6.596972e+01,-1.495229e+00
0,1389015190.460,1.453003e+00,-1.979518e-01,4.610660e-01,-8.813336e+00,6.596345e+01,-1.492695e+00
0,1389015190.501,1.459855e+00,-1.964222e-01,4.638554e-01,-8.814478e+00,6.595652e+01,-1.489906e+00
0,1389015190.539,1.466346e+00,-1.949732e-01,4.664979e-01,-8.815559e+00,6.594996e+01,-1.487263e+00
0,1389015190.580,1.473403e+00,-1.934820e-01,4.693401e-01,-8.816813e+00,6.594286e+01,-1.484421e+00
0,1389015190.621,1.480514e+00,-1.919925e-01,4.721995e-01,-8.818088e+00,6.593571e+01,-1.481561e+00
0,1389015190.661,1.487632e+00,-1.905439e-01,4.750476e-01,-8.819404e+00,6.592856e+01,-1.478713e+00
0,1389015190.701,1.495056e+00,-1.890991e-01,4.779969e-01,-8.820838e+00,6.592114e+01,-1.475764e+00
0,1389015190.741,1.502358e+00,-1.876780e-01,4.808977e-01,-8.822249e+00,6.591383e+01,-1.472863e+00
0,1389015190.782,1.510060e+00,-1.862483e-01,4.839408e-01,-8.823801e+00,6.590615e+01,-1.469820e+00
0,1389015190.823,1.517936e+00,-1.847935e-01,4.870513e-01,-8.825395e+00,6.589830e+01,-1.466710e+00
0,1389015190.862,1.525306e+00,-1.834492e-01,4.899617e-01,-8.826901e+00,6.589097e+01,-1.463799e+00
0,1389015190.904,1.533526e+00,-1.819732e-01,4.932088e-01,-8.828604e+00,6.588279e+01,-1.460552e+00
0,1389015190.942,1.540920e+00,-1.806458e-01,4.961291e-01,-8.830136e+00,6.587544e+01,-1.457632e+00
0,1389015190.983,1.548891e+00,-1.792211e-01,4.992950e-01,-8.831793e+00,6.586751e+01,-1.454466e+00
0,1389015191.023,1.556826e+00,-1.778034e-01,5.024478e-01,-8.833443e+00,6.585962e+01,-1.451313e+00
0,1389015191.063,1.564733e+00,-1.763794e-01,5.056058e-01,-8.835077e+00,6.585175e+01,-1.448155e+00
0,1389015191.105,1.573089e+00,-1.748598e-01,5.089641e-01,-8.836790e+00,6.584343e+01,-1.444797e+00
0,1389015191.143,1.580528e+00,-1.735070e-01,5.119538e-01,-8.838315e+00,6.583603e+01,-1.441807e+00
0,1389015191.183,1.588552e+00,-1.719929e-01,5.152304e-01,-8.839908e+00,6.582802e+01,-1.438531e+00
0,1389015191.225,1.596823e+00,-1.704285e-01,5.186116e-01,-8.841548e+00,6.581976e+01,-1.435149e+00
0,1389015191.263,1.604264e+00,-1.689798e-01,5.216870e-01,-8.842985e+00,6.581232e+01,-1.432074e+00
0,1389015191.306,1.612571e+00,-1.673119e-01,5.251611e-01,-8.844541e+00,6.580399e+01,-1.428600e+00
0,1389015191.344,1.619830e+00,-1.658543e-01,5.281971e-01,-8.845902e+00,6.579671e+01,-1.425564e+00
0,1389015191.384,1.627488e+00,-1.641952e-01,5.314909e-01,-8.847225e+00,6.578899e+01,-1.422270e+00
0,1389015191.425,1.635298e+00,-1.624977e-01,5.348543e-01,-8.848569e+00,6.578111e+01,-1.418907e+00
0,1389015191.463,1.642438e+00,-1.608720e-01,5.379817e-01,-8.849729e+00,6.577388e+01,-1.415779e+00
0,1389015191.506,1.650254e+00,-1.589988e-01,5.414721e-01,-8.850912e+00,6.576593e+01,-1.412289e+00
0,1389015191.543,1.657104e+00,-1.573571e-01,5.445310e-01,-8.851949e+00,6.575897e+01,-1.409230e+00
0,1389015191.584,1.664161e+00,-1.554685e-01,5.478190e-01,-8.852834e+00,6.575171e+01,-1.405942e+00
0,1389015191.624,1.671288e+00,-1.535509e-01,5.511468e-01,-8.853718e+00,6.574439e+01,-1.402614e+00
0,1389015191.707,1.685178e+00,-1.494636e-01,5.578731e-01,-8.855117e+00,6.572998e+01,-1.395888e+00
0,1389015191.745,1.691436e+00,-1.475659e-01,5.609422e-01,-8.855695e+00,6.572346e+01,-1.392819e+00
0,1389015191.784,1.697743e+00,-1.454496e-01,5.641785e-01,-8.856090e+00,6.571682e+01,-1.389582e+00
0,1389015191.805,1.701044e+00,-1.443407e-01,5.658731e-01,-8.856294e+00,6.571334e+01,-1.387888e+00
0,1389015191.865,1.710360e+00,-1.411217e-01,5.707205e-01,-8.856789e+00,6.570350e+01,-1.383040e+00
0,1389015191.919,1.718608e+00,-1.381066e-01,5.751317e-01,-8.857075e+00,6.569472e+01,-1.378629e+00
0,1389015191.945,1.722538e+00,-1.366700e-01,5.772335e-01,-8.857211e+00,6.569054e+01,-1.376528e+00
0,1389015191.986,1.728468e+00,-1.343533e-01,5.805176e-01,-8.857278e+00,6.568417e+01,-1.373243e+00
0,1389015192.026,1.734371e+00,-1.320472e-01,5.837866e-01,-8.857345e+00,6.567784e+01,-1.369974e+00
0,1389015192.066,1.740228e+00,-1.297009e-01,5.870771e-01,-8.857357e+00,6.567153e+01,-1.366684e+00
0,1389015192.112,1.746816e+00,-1.269994e-01,5.908285e-01,-8.857313e+00,6.566441e+01,-1.362932e+00
0,1389015192.129,1.749186e+00,-1.260275e-01,5.921782e-01,-8.857297e+00,6.566185e+01,-1.361583e+00
