%t_sec,seq,x,y,theta,pan,tilt,fx,fy,cx,cy,width,height,omega,battery,rc -- /home/cedricp/Bags/140106_around_the_lake_auto/2014-01-06-08-30-57_0.bag
1389015183.220610,5795.000000,296869.404565,5442697.339750,-1.874445,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.036220,15.833953,1.000000
1389015183.320912,5796.000000,296869.406594,5442697.311722,-1.876784,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.037195,15.824907,1.000000
1389015183.421785,5797.000000,296869.408635,5442697.283535,-1.877449,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.041269,15.818338,1.000000
1389015183.521209,5798.000000,296869.410646,5442697.255753,-1.869456,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.044553,15.825186,1.000000
1389015183.621104,5799.000000,296869.412652,5442697.228039,-1.865745,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.040672,15.832750,1.000000
1389015183.721393,5800.000000,296869.414650,5442697.200442,-1.864335,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.036592,15.840324,1.000000
1389015183.822644,5801.000000,296869.416667,5442697.172580,-1.866416,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.033130,15.852758,1.000000
1389015183.921687,5802.000000,296869.418640,5442697.145326,-1.861286,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.033918,15.847597,1.000000
1389015184.021826,5803.000000,296869.420581,5442697.115557,-1.863758,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.035063,15.847005,1.000000
1389015184.121829,5804.000000,296869.422444,5442697.082784,-1.859661,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.036047,15.845895,1.000000
1389015184.221677,5805.000000,296869.424305,5442697.050062,-1.860057,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.035242,15.837222,1.000000
1389015184.322094,5806.000000,296869.426176,5442697.017154,-1.850209,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.034178,15.825545,1.000000
1389015184.422100,5807.000000,296869.429479,5442696.986592,-1.841800,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.032055,15.829985,1.000000
1389015184.522299,5808.000000,296869.434529,5442696.958640,-1.828051,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027891,15.835454,1.000000
1389015184.622671,5809.000000,296869.436851,5442696.930590,-1.822940,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027780,15.837142,1.000000
1389015184.723156,5810.000000,296869.435817,5442696.902445,-1.820822,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027861,15.835819,1.000000
1389015184.826604,5811.000000,296869.434752,5442696.873471,-1.825050,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027698,15.841735,1.000000
1389015184.922790,5812.000000,296869.433762,5442696.846531,-1.818935,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.028754,15.849959,1.000000
1389015185.022892,5813.000000,296869.432737,5442696.818648,-1.823307,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.026728,15.845228,1.000000
1389015185.123271,5814.000000,296869.431716,5442696.790852,-1.818067,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.026632,15.828059,1.000000
1389015185.225023,5815.000000,296869.430681,5442696.762676,-1.813132,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.028665,15.802095,1.000000
1389015185.324724,5816.000000,296869.429666,5442696.735068,-1.809427,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.039905,15.775173,1.000000
1389015185.390769,5817.000000,296869.428946,5442696.715469,-1.797584,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.040557,15.815422,1.000000
1389015185.491003,5818.000000,296869.427603,5442696.678934,-1.793811,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.043654,15.831531,1.000000
1389015185.590683,5819.000000,296869.426301,5442696.643495,-1.790188,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.044649,15.826508,1.000000
1389015185.690388,5820.000000,296869.425249,5442696.614852,-1.784565,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.045797,15.828855,1.000000
1389015185.790924,5821.000000,296869.424191,5442696.586071,-1.781030,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.048815,15.839209,1.000000
1389015185.900469,5822.000000,296869.423057,5442696.555194,-1.776700,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.050066,15.846831,1.000000
1389015185.992212,5823.000000,296869.422106,5442696.529335,-1.774172,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.049091,15.844198,1.000000
1389015186.092911,5824.000000,296869.421063,5442696.500951,-1.775404,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.045910,15.839998,1.000000
1389015186.191180,5825.000000,296869.420052,5442696.473442,-1.771386,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.042715,15.837119,1.000000
1389015186.290810,5826.000000,296869.419049,5442696.446136,-1.767566,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.043586,15.792038,1.000000
1389015186.390752,5827.000000,296869.418107,5442696.420499,-1.763960,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.046683,15.810946,1.000000
1389015186.490811,5828.000000,296869.417405,5442696.401394,-1.748448,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.048984,15.849617,1.000000
1389015186.591455,5829.000000,296869.416614,5442696.379882,-1.748841,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.049001,15.840060,1.000000
1389015186.691075,5830.000000,296869.415613,5442696.352621,-1.747547,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.049001,15.851826,1.000000
1389015186.791966,5831.000000,296869.414598,5442696.325011,-1.742479,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.046885,15.857756,1.000000
1389015186.891524,5832.000000,296869.413597,5442696.297766,-1.740557,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.045813,15.850135,1.000000
1389015186.991337,5833.000000,296869.412588,5442696.270310,-1.742722,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.046863,15.827861,1.000000
1389015187.091690,5834.000000,296869.411555,5442696.242185,-1.745473,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.053866,15.635009,1.000000
1389015187.191596,5835.000000,296869.410609,5442696.216453,-1.743410,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075308,15.238526,1.000000
1389015187.291677,5836.000000,296869.409934,5442696.198085,-1.732729,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.090111,15.627597,1.000000
1389015187.392401,5837.000000,296869.409179,5442696.177537,-1.730584,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.098841,15.696410,1.000000
1389015187.491611,5838.000000,296869.408174,5442696.150175,-1.723387,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.101182,15.731757,1.000000
1389015187.591902,5839.000000,296869.407157,5442696.122515,-1.706126,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.105265,15.748139,1.000000
1389015187.692199,5840.000000,296869.406141,5442696.094854,-1.703054,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.109443,15.354317,1.000000
1389015187.792627,5841.000000,296869.406337,5442696.066932,-1.686385,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.122083,15.714313,1.000000
1389015187.892413,5842.000000,296869.411515,5442696.038271,-1.680403,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.116400,15.779186,1.000000
1389015187.992265,5843.000000,296869.416582,5442696.007533,-1.669077,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.116112,15.784509,1.000000
1389015188.092134,5844.000000,296869.421292,5442695.970344,-1.653058,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.113019,15.775520,1.000000
1389015188.192518,5845.000000,296869.424647,5442695.935587,-1.634351,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.107955,15.807590,1.000000
1389015188.293801,5846.000000,296869.423664,5442695.908837,-1.624304,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.104582,15.824172,1.000000
1389015188.392735,5847.000000,296869.422740,5442695.883681,-1.613922,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.101385,15.819679,1.000000
1389015188.493444,5848.000000,296869.422019,5442695.864066,-1.603180,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.097131,15.812810,1.000000
1389015188.593832,5849.000000,296869.421232,5442695.842644,-1.600439,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.096857,15.449439,1.000000
1389015188.693105,5850.000000,296869.420248,5442695.815855,-1.587042,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.101330,15.721325,1.000000
1389015188.793859,5851.000000,296869.419860,5442695.789296,-1.569576,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.090948,15.813343,1.000000
1389015188.893563,5852.000000,296869.422081,5442695.765695,-1.559952,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.084365,15.839738,1.000000
1389015188.993267,5853.000000,296869.424302,5442695.742094,-1.550205,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.076914,15.839760,1.000000
1389015189.094052,5854.000000,296869.426548,5442695.718238,-1.538283,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.071491,15.840569,1.000000
1389015189.194052,5855.000000,296869.428719,5442695.693501,-1.538185,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.068279,15.837520,1.000000
1389015189.293692,5856.000000,296869.430722,5442695.665832,-1.532156,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.067199,15.832286,1.000000
1389015189.394232,5857.000000,296869.432743,5442695.637912,-1.511454,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.063935,15.827044,1.000000
1389015189.493994,5858.000000,296869.434749,5442695.610208,-1.495886,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.061961,15.826112,1.000000
1389015189.594883,5859.000000,296869.436820,5442695.583339,-1.489521,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.059750,15.823756,1.000000
1389015189.695050,5860.000000,296869.439004,5442695.560128,-1.482336,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.055667,15.813347,1.000000
1389015189.795020,5861.000000,296869.441184,5442695.536963,-1.476480,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.058566,15.823205,1.000000
1389015189.896266,5862.000000,296869.443392,5442695.513501,-1.464541,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.060620,15.818961,1.000000
1389015189.997175,5863.000000,296869.445550,5442695.488938,-1.463838,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.062750,15.819562,1.000000
1389015190.096951,5864.000000,296869.447556,5442695.461222,-1.451843,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.062764,15.826603,1.000000
1389015190.194716,5865.000000,296869.449522,5442695.434063,-1.450089,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.062848,15.818084,1.000000
1389015190.294930,5866.000000,296869.451538,5442695.406225,-1.451664,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.062930,15.749622,1.000000
1389015190.396008,5867.000000,296869.454977,5442695.379164,-1.452907,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.063825,15.764510,1.000000
1389015190.495376,5868.000000,296869.463129,5442695.356013,-1.448035,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.071883,15.540121,1.000000
1389015190.595567,5869.000000,296869.471348,5442695.332669,-1.434842,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.074546,15.782072,1.000000
1389015190.695080,5870.000000,296869.479512,5442695.309484,-1.433002,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075541,15.817317,1.000000
1389015190.795676,5871.000000,296869.485996,5442695.284960,-1.425944,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075630,15.835107,1.000000
1389015190.895735,5872.000000,296869.484930,5442695.255947,-1.423099,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.076607,15.828285,1.000000
1389015190.995548,5873.000000,296869.487280,5442695.229758,-1.411254,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.076613,15.817676,1.000000
1389015191.095515,5874.000000,296869.498719,5442695.210858,-1.403328,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.076614,15.775529,1.000000
1389015191.196027,5875.000000,296869.508485,5442695.189429,-1.398665,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075556,15.737268,1.000000
1389015191.295846,5876.000000,296869.513509,5442695.161620,-1.387468,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.074408,15.678292,1.000000
1389015191.395813,5877.000000,296869.518583,5442695.134499,-1.383045,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.072695,15.611032,1.000000
1389015191.496153,5878.000000,296869.523797,5442695.109382,-1.374916,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.076586,15.693028,1.000000
1389015191.596054,5879.000000,296869.528988,5442695.084375,-1.376771,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.078812,15.732389,1.000000
1389015191.695873,5880.000000,296869.534175,5442695.059388,-1.364349,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.080860,15.741712,1.000000
1389015191.796606,5881.000000,296869.539410,5442695.034172,-1.352272,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.081038,15.752394,1.000000
1389015191.896580,5882.000000,296869.544605,5442695.009147,-1.346161,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.081040,15.757536,1.000000
1389015191.996228,5883.000000,296869.551569,5442694.985992,-1.332545,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.079900,15.757244,1.000000
1389015192.096720,5884.000000,296869.563017,5442694.967075,-1.320831,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.078834,15.751852,1.000000
1389015192.196995,5885.000000,296869.572674,5442694.945594,-1.310189,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.083869,15.745762,1.000000
1389015192.296808,5886.000000,296869.577747,5442694.917517,-1.303148,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.084150,15.744090,1.000000
1389015192.397472,5887.000000,296869.582862,5442694.889202,-1.296688,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.084153,15.745542,1.000000
1389015192.498701,5888.000000,296869.588006,5442694.860727,-1.287391,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.081955,15.757384,1.000000
1389015192.599684,5889.000000,296869.593240,5442694.835365,-1.280793,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.080964,15.794417,1.000000
1389015192.697940,5890.000000,296869.598542,5442694.816960,-1.267720,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.084943,15.793551,1.000000
1389015192.797573,5891.000000,296869.605458,5442694.795916,-1.261102,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.088308,15.803002,1.000000
1389015192.907434,5892.000000,296869.617013,5442694.766636,-1.249449,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.092399,15.811116,1.000000
1389015193.000776,5893.000000,296869.626394,5442694.742309,-1.245975,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.093731,15.809137,1.000000
1389015193.101792,5894.000000,296869.634959,5442694.717983,-1.241879,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.094716,15.629707,1.000000
1389015193.201899,5895.000000,296869.643448,5442694.693876,-1.233531,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.080323,15.635275,1.000000
1389015193.297668,5896.000000,296869.651568,5442694.670813,-1.217036,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075909,15.694606,1.000000
1389015193.398067,5897.000000,296869.659123,5442694.645426,-1.202950,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075714,15.708170,1.000000
1389015193.498454,5898.000000,296869.664260,5442694.616992,-1.197208,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.075631,15.712820,1.000000
1389015193.597779,5899.000000,296869.671175,5442694.588890,-1.198779,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.072704,15.717162,1.000000
1389015193.697735,5900.000000,296869.682306,5442694.560682,-1.187871,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.071461,15.728765,1.000000
1389015193.797694,5901.000000,296869.693339,5442694.532725,-1.181046,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.069337,15.750419,1.000000
1389015193.897648,5902.000000,296869.704143,5442694.505348,-1.176904,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.068182,15.760698,1.000000
1389015194.000175,5903.000000,296869.715317,5442694.478358,-1.155589,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.064106,15.755810,1.000000
1389015194.099010,5904.000000,296869.726343,5442694.455352,-1.146891,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.059847,15.755463,1.000000
1389015194.199075,5905.000000,296869.737507,5442694.432059,-1.139580,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.054610,15.745390,1.000000
1389015194.309291,5906.000000,296869.749803,5442694.406403,-1.136655,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.051236,15.748602,1.000000
1389015194.400223,5907.000000,296869.760034,5442694.385055,-1.134200,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.051212,15.742376,1.000000
1389015194.497455,5908.000000,296869.771281,5442694.361589,-1.125693,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.049015,15.746129,1.000000
1389015194.597933,5909.000000,296869.782904,5442694.337338,-1.115470,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.044850,15.750880,1.000000
1389015194.698061,5910.000000,296869.794486,5442694.313173,-1.114250,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.040672,15.743219,1.000000
1389015194.797840,5911.000000,296869.805811,5442694.288219,-1.126564,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.033649,15.625280,1.000000
1389015194.904003,5912.000000,296869.817253,5442694.259225,-1.109467,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.024807,15.719568,1.000000
1389015194.998320,5913.000000,296869.827540,5442694.234233,-1.102415,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.026453,15.755090,1.000000
1389015195.098406,5914.000000,296869.838903,5442694.210523,-1.099928,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.029719,15.754539,1.000000
1389015195.198704,5915.000000,296869.850291,5442694.186763,-1.090207,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027709,15.708530,1.000000
1389015195.298583,5916.000000,296869.861630,5442694.163103,-1.085830,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.016223,15.579478,1.000000
1389015195.399876,5917.000000,296869.873884,5442694.137844,-1.084817,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.015814,15.730447,1.000000
1389015195.498599,5918.000000,296869.888166,5442694.109300,-1.086745,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.021995,15.740864,1.000000
1389015195.598933,5919.000000,296869.902680,5442694.080291,-1.085777,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.017322,15.560937,1.000000
1389015195.699048,5920.000000,296869.917164,5442694.051344,-1.088610,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.016090,15.735701,1.000000
1389015195.798871,5921.000000,296869.930592,5442694.025710,-1.081793,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.018011,15.757022,1.000000
1389015195.899107,5922.000000,296869.941823,5442694.007155,-1.078086,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.023068,15.632588,1.000000
1389015195.999265,5923.000000,296869.953077,5442693.985917,-1.080964,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.012205,15.678852,1.000000
1389015196.099249,5924.000000,296869.964402,5442693.957218,-1.073269,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.014483,15.756195,1.000000
1389015196.199414,5925.000000,296869.976554,5442693.928670,-1.070147,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.021904,15.751436,1.000000
1389015196.299521,5926.000000,296869.990591,5442693.900615,-1.072885,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.024400,15.529151,1.000000
1389015196.399687,5927.000000,296870.004637,5442693.872543,-1.067341,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.016119,15.716653,1.000000
1389015196.502238,5928.000000,296870.019017,5442693.843802,-1.060447,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.016954,15.735022,1.000000
1389015196.599916,5929.000000,296870.033725,5442693.818601,-1.053069,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.024037,15.722857,1.000000
1389015196.699782,5930.000000,296870.051639,5442693.799023,-1.056729,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.017747,15.547437,1.000000
1389015196.802901,5931.000000,296870.068041,5442693.775595,-1.062220,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.015990,15.740454,1.000000
1389015196.900072,5932.000000,296870.079295,5442693.747076,-1.060979,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.018987,15.759241,1.000000
1389015196.999903,5933.000000,296870.092963,5442693.718136,-1.070978,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.022346,15.579494,1.000000
1389015197.100956,5934.000000,296870.110328,5442693.689443,-1.063693,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.012118,15.703535,1.000000
1389015197.200526,5935.000000,296870.127439,5442693.661172,-1.055531,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.013834,15.735633,1.000000
1389015197.300863,5936.000000,296870.144681,5442693.632683,-1.053640,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.019054,15.706811,1.000000
1389015197.401222,5937.000000,296870.159625,5442693.604268,-1.053623,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.014211,15.552924,1.000000
1389015197.501888,5938.000000,296870.170822,5442693.575897,-1.052259,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.013686,15.734619,1.000000
1389015197.601146,5939.000000,296870.184149,5442693.547823,-1.052963,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.017750,15.734679,1.000000
